customer_id,name,email,phone,region,created_at,updated_at
551,Ruth Ross,vdavid@example.com,(908)697-0988x0671,Selangor,2025-07-17 12:04:19,2025-07-17 12:04:19
552,Brandon Carter,robertgaines@example.com,001-917-648-8262,Selangor,2025-07-17 12:04:19,2025-07-17 12:04:19
553,Robert Bradley,foleystephen@example.com,240-246-8886x82235,KL,2025-07-17 12:04:19,2025-07-17 12:04:19
554,James Maddox,donnalopez@example.org,+1-273-899-7184x703,KL,2025-07-17 12:04:19,2025-07-17 12:04:19
555,Jimmy Collins,linda39@example.net,209-399-4957,Johor,2025-07-17 12:04:19,2025-07-17 12:04:19
556,Patricia Bradshaw,gschneider@example.org,934-774-4274x006,Penang,2025-07-17 12:04:19,2025-07-17 12:04:19
557,Joanna Parker,fostermatthew@example.org,303.569.6272x26634,Penang,2025-07-17 12:04:19,2025-07-17 12:04:19
558,Samuel Goodwin,wroth@example.net,961.518.8124x895,KL,2025-07-17 12:04:19,2025-07-17 12:04:19
559,Katherine Powell,mariatanner@example.net,267.463.8119x480,Selangor,2025-07-17 12:04:19,2025-07-17 12:04:19
560,Lori Wilkinson,naguilar@example.net,8992247339,Penang,2025-07-17 12:04:19,2025-07-17 12:04:19
561,Jeffrey Harris,gshepherd@example.org,642.398.9256x27241,Johor,2025-07-17 12:04:19,2025-07-17 12:04:19
562,Logan Lee,mark24@example.org,001-990-709-3355,Penang,2025-07-17 12:04:19,2025-07-17 12:04:19
563,Elizabeth Taylor,hernandezkatherine@example.net,(559)781-2747x7942,Johor,2025-07-17 12:04:19,2025-07-17 12:04:19
564,Andrew Adams,christianmary@example.net,001-391-772-6899,KL,2025-07-17 12:04:19,2025-07-17 12:04:19
565,Gloria Holmes,llewis@example.net,(740)299-8286x4638,Selangor,2025-07-17 12:04:19,2025-07-17 12:04:19
566,Natalie Mejia,jennifer68@example.com,(492)636-9209,KL,2025-07-17 12:04:19,2025-07-17 12:04:19
567,Jason Weber,gloria65@example.net,515-296-0329,Selangor,2025-07-17 12:04:19,2025-07-17 12:04:19
568,Kelly Taylor,michael34@example.org,001-722-505-7340,KL,2025-07-17 12:04:19,2025-07-17 12:04:19
569,Brandon Blair,jamiechavez@example.net,(934)639-0374,Selangor,2025-07-17 12:04:19,2025-07-17 12:04:19
570,Stephanie Ortega,cristina08@example.org,+1-766-564-3935,Penang,2025-07-17 12:04:19,2025-07-17 12:04:19
571,William Evans,lhernandez@example.com,(336)536-5418,Penang,2025-07-17 12:04:19,2025-07-17 12:04:19
572,Rebekah Walker,joseph57@example.org,001-976-485-3519x5345,KL,2025-07-17 12:04:19,2025-07-17 12:04:19
573,Kristy Beard,michaelvaughan@example.org,001-820-794-5303x1730,Selangor,2025-07-17 12:04:19,2025-07-17 12:04:19
574,Craig Hill,ramirezchristian@example.org,001-662-557-5314,Johor,2025-07-17 12:04:19,2025-07-17 12:04:19
575,Melissa Burton,muellertimothy@example.com,866.725.0678,Johor,2025-07-17 12:04:19,2025-07-17 12:04:19
576,Michael Sandoval,gparsons@example.net,001-429-587-0734x8600,Selangor,2025-07-17 12:04:19,2025-07-17 12:04:19
